Timestamp,Rate how strongly you agree with any one of the following: [I personally know someone or have family/family friends who are successful in my field.],Rate how strongly you agree with any one of the following: [My academic background before attending university prepared me for success in my major.],Rate how strongly you agree with any one of the following: [Attending my university is not a huge financial burden for me.],The resources my courses provide are sufficient for me to succeed,"""PGO waves, or pontine-geniculate-occipital waves, are brief, high-amplitude electrical signals observed in the brain during REM sleep. These waves originate in the pons (part of the brainstem), propagate to the lateral geniculate nucleus (a visual relay center in the thalamus), and finally reach the occipital cortex (the visual processing area of the brain)...""","""Ponto-geniculo-occipital (PGO) waves are a signature of REM sleep. They represent the physiological mechanism of REM sleep that specifically limits the processing of external information. PGO waves look just like a message sent from the pons to the lateral geniculate nucleus of the visual thalamus, the occipital cortex, and other areas of the brain. The dedicated visual pathway of PGO waves can be interpreted by the brain as visual information, leading to the visual hallucinosis of dreams. PGO waves are considered to be both a reflection of REM sleep brain activity and causal to dreams due to their stimulation of the cortex…""","""REM sleep has many different brain features to it. The first of which is your electrical brain wave activity. The top of the brain, the cortex, looks almost identical to that which you have when you are awake, which is stunning because you are not conscious. You're lying completely still, no presence of muscle tone whatsoever, yet your brain seems to be just as on fire with electrical activity as it is when you are awake. Coming down a step, there are these unique pulses of electrical bursts that come up from the brain stem up to this sensory relay state center in the brain called the thalamus, and then they were initially recorded out in the back of the brain in the visual cortex. Hence these PGO waves describe the three sites that I just mentioned going from the brainstem, the pons, up to the thalamus, a part of it called the geniculate, and then out to the back of the brain called the occipital cortex, PGO…""","Resource A is officially recommended by the course instructor and staff, while Resource B is recommended by other students in the course, including people you know. Both have similar reviews. Which do you use?","For the past 6 months, which of the following resources are students utilizing most often to learn/complete their assignments and finding most reliable?","When completing assignments, which approach do you believe leads to better outcomes?",How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [Professor/Course staff],How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [Peers],"How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [Select ""Somewhat Hesitant"" for this option to show you are attentive]",How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [Ed Discussion Boards],"How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [AI tools (e.g., ChatGPT)]",How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [Internet Searches],How frequently on average do you use ChatGPT/similar AI tools in a week?,"How frequently on average do you use non-AI resources (office hours, google, course readings, etc) in comparison?","If you use ChatGPT/similar AI tools, what do you use it for?",Are you a student at UC Berkeley?,What year are you?,How old are you?,What gender do you identify with?,What college is your major(s) in?,What college is your minor in? (N/A if not applicable)
12/3/2024 17:08:04,Strongly Disagree,Neutral,Agree,3,Somewhat Credible,Somewhat Credible,Likely Not Credible,Resource B,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Somewhat Confident,Somewhat Confident,Somewhat Hesitant,Neutral,Neutral,Neutral,1–2 times per week.,1,Help organize thought or break down an explanation,Yes,UG Junior,20-21,Female,Rausser College of Natural Resources,
12/3/2024 17:39:29,Strongly Disagree,Disagree,Agree,3,Somewhat Credible,Very Credible,Somewhat Credible,Resource B,Internet Searches,Prioritizing speed and efficiency,Neutral,Somewhat Confident,Somewhat Hesitant,Very Hesitant,Somewhat Confident,Very Confident,Once a day (7 times per week).,2,"Brainstorming, revising, explaining",Yes,UG Junior,20-21,Female,"College of Letters & Science, Computing, Data Science, & Society (CDSS)",
12/3/2024 17:39:33,Strongly Agree,Strongly Agree,Strongly Agree,5,Likely Not Credible,Somewhat Credible,Very Credible,Resource A,AI Tools (e.g. ChatGPT),Prioritizing speed and efficiency,Very Confident,Somewhat Confident,Somewhat Hesitant,Somewhat Confident,Neutral,Somewhat Confident,More than 5 times a day (35+ times per week).,5,"general questions, assignments, recommendations, resumes",Yes,UG Senior,26-29,Female,"Computing, Data Science, & Society (CDSS)",
12/3/2024 19:31:26,Disagree,Strongly Agree,Strongly Agree,4,Very Credible,Somewhat Credible,Not Credible,Resource A,Professor/Staff Office Hours,Focusing on thoroughness and attention to detail,Very Hesitant,Somewhat Confident,Somewhat Hesitant,Very Confident,Somewhat Hesitant,Very Confident,Less than once a week.,4,Google is starting to automatically generate so probably that,Yes,UG Senior,20-21,Female,College of Letters & Science,College of Letters & Science
12/3/2024 19:50:27,Disagree,Agree,Agree,1,Very Credible,Very Credible,Not Credible,Resource B,Internet Searches,Focusing on thoroughness and attention to detail,Somewhat Confident,Somewhat Confident,Somewhat Hesitant,Somewhat Hesitant,Somewhat Hesitant,Very Confident,3–4 times per week.,4,"Searching up terms based on description, doing math, coming up with gift ideas, asking questions",Yes,UG Sophomore,18-19,Male,"College of Letters & Science, Computing, Data Science, & Society (CDSS)",College of Letters & Science
12/3/2024 23:42:21,Agree,Disagree,Strongly Agree,2,Somewhat Credible,Not Credible,Likely Not Credible,Resource B,Course Recommended Readings,Focusing on thoroughness and attention to detail,Very Confident,Very Confident,Somewhat Hesitant,Somewhat Confident,Somewhat Hesitant,Somewhat Hesitant,2–3 times a day (14–21 times per week).,3,Creating a study schedule for me,Yes,UG Sophomore,18-19,Female,College of Letters & Science,College of Letters & Science
12/4/2024 2:44:57,Disagree,Neutral,Agree,2,Somewhat Credible,Somewhat Credible,Not Credible,Resource B,AI Tools (e.g. ChatGPT),Prioritizing speed and efficiency,Very Confident,Very Confident,Somewhat Hesitant,Very Confident,Somewhat Confident,Somewhat Confident,More than 5 times a day (35+ times per week).,4,searching up basic definitions/explanations,Yes,UG Junior,20-21,Female,College of Letters & Science,College of Letters & Science
12/4/2024 4:37:44,Strongly Disagree,Agree,Strongly Agree,1,Somewhat Credible,Very Credible,Very Credible,Resource B,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Somewhat Confident,Very Confident,Somewhat Hesitant,Somewhat Confident,Somewhat Confident,Somewhat Confident,Once a day (7 times per week).,3,"Explain/breakdown concepts I don’t understand, troubleshoot my code by telling it what errors I am encountering",Yes,UG Senior,22-23,Female,College of Engineering,
12/4/2024 12:15:57,Agree,Strongly Agree,Strongly Disagree,4,Very Credible,Very Credible,Likely Not Credible,Resource B,Professor/Staff Office Hours,Focusing on thoroughness and attention to detail,Very Confident,Somewhat Confident,Somewhat Hesitant,Somewhat Confident,Somewhat Hesitant,Neutral,I don’t use ChatGPT.,1,N/A,Yes,UG Senior,20-21,Male,"College of Letters & Science, Computing, Data Science, & Society (CDSS)",
12/4/2024 16:17:47,Strongly Disagree,Neutral,Neutral,4,Likely Not Credible,Somewhat Credible,Somewhat Credible,Resource A,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Very Confident,Neutral,Somewhat Hesitant,Neutral,Very Hesitant,Somewhat Hesitant,3–4 times per week.,2,Math practice and discussing ideas about writing topics,Yes,UG Junior,20-21,Female,College of Letters & Science,"Computing, Data Science, & Society (CDSS)"
12/4/2024 20:01:30,Neutral,Agree,Neutral,4,Somewhat Credible,Very Credible,Likely Not Credible,Resource B,Internet Searches,Focusing on thoroughness and attention to detail,Somewhat Confident,Very Confident,Somewhat Hesitant,Somewhat Confident,Very Confident,Very Confident,3–4 times per week.,2,"Help on assignments, better understanding of confusing concepts",Yes,UG Senior,20-21,Female,College of Letters & Science,College of Letters & Science
12/4/2024 23:08:30,Disagree,Disagree,Neutral,1,Very Credible,Somewhat Credible,Somewhat Credible,Resource B,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Somewhat Hesitant,Somewhat Confident,Somewhat Confident,Very Confident,Very Confident,Very Confident,More than 5 times a day (35+ times per week).,4,breaking down hard to understand concepts,Yes,UG Sophomore,18-19,Female,"College of Letters & Science, Computing, Data Science, & Society (CDSS)",
12/5/2024 19:01:13,Strongly Disagree,Disagree,Strongly Disagree,5,Very Credible,Somewhat Credible,Somewhat Credible,Resource B,Internet Searches,Prioritizing speed and efficiency,Neutral,Somewhat Hesitant,Somewhat Hesitant,Somewhat Confident,Somewhat Confident,Somewhat Confident,3–4 times per week.,3,"Polishing, making sure of things",Yes,UG Freshman,18-19,Female,College of Letters & Science,
12/6/2024 1:34:41,Strongly Agree,Agree,Strongly Agree,2,Very Credible,Somewhat Credible,Likely Not Credible,Resource B,AI Tools (e.g. ChatGPT),Prioritizing speed and efficiency,Somewhat Confident,Very Confident,Somewhat Hesitant,Somewhat Confident,Somewhat Confident,Neutral,More than 5 times a day (35+ times per week).,4,To find solutions😭,Yes,UG Senior,20-21,Male,"College of Letters & Science, Computing, Data Science, & Society (CDSS)","Computing, Data Science, & Society (CDSS)"
12/8/2024 1:59:25,Strongly Disagree,Strongly Agree,Neutral,3,Somewhat Credible,Somewhat Credible,Likely Not Credible,Resource A,Internet Searches,Focusing on thoroughness and attention to detail,Somewhat Hesitant,Somewhat Confident,Somewhat Hesitant,Somewhat Confident,Neutral,Somewhat Confident,2–3 times a day (14–21 times per week).,4,Proofreading and checking math answers,Yes,UG Freshman,18-19,Female,Rausser College of Natural Resources,College of Engineering
12/9/2024 14:05:45,Agree,Strongly Agree,Agree,4,Somewhat Credible,Very Credible,Likely Not Credible,Resource A,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Very Confident,Somewhat Confident,Somewhat Hesitant,Very Confident,Somewhat Confident,Somewhat Confident,Once a day (7 times per week).,4,"Explaining answers to homework’s, getting answers for hw, researching concepts and getting explanations ",Yes,UG Sophomore,18-19,Male,College of Engineering,
12/9/2024 14:10:55,Strongly Agree,Strongly Agree,Strongly Agree,2,Very Credible,Somewhat Credible,Not Credible,Resource A,Professor/Staff Office Hours,Focusing on thoroughness and attention to detail,Very Confident,Somewhat Confident,Somewhat Hesitant,Very Confident,Neutral,Very Confident,2–3 times a day (14–21 times per week).,2,"ideas on how to start solving a problem, not exact implementation",Yes,UG Senior,22-23,Male,"College of Letters & Science, Computing, Data Science, & Society (CDSS)",
12/9/2024 14:55:56,Strongly Agree,Strongly Agree,Strongly Agree,2,Somewhat Credible,Somewhat Credible,Somewhat Credible,Resource A,AI Tools (e.g. ChatGPT),Prioritizing speed and efficiency,Neutral,Neutral,Somewhat Hesitant,Somewhat Confident,Somewhat Hesitant,Somewhat Confident,1–2 times per week.,1,recruiting (writing application essays) and double checking my answers (i usually like to try it by myself to learn and then put it through chatgpt to double check if homework is graded for accuracy),Yes,UG Junior,20-21,Female,"Computing, Data Science, & Society (CDSS)",
12/9/2024 15:04:18,Strongly Agree,Strongly Agree,Agree,4,Somewhat Credible,Somewhat Credible,Somewhat Credible,Resource A,Professor/Staff Office Hours,Focusing on thoroughness and attention to detail,Very Confident,Somewhat Confident,Somewhat Hesitant,Very Confident,Neutral,Neutral,Less than once a week.,1,Debugging my code,Yes,UG Senior,20-21,Female,College of Engineering,
